Brand,product,Price,Rating Score,Rating Count
LENOVO,"V15 G3 Intel Core i5 1235U 16GB 512GB SSD Windows 11 Home 15.6"" FHD 82TT00HDTRA190",17.299 TL,4.7,33
Apple,"15-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 256GB - Midnight",41.499 TL,4.7,70
Apple,"Macbook Air 13.6"" M2 8gb 256gb Ssd Uzay Grisi",36.249 TL,4.7,340
ASUS,Tuf Gaming A16 Advantage Edition Fa617nsr-n3056 Amd Ryzen 7 7435hs 16 Gb 512 Gb Ssd Amd Radeon,34.599 TL,5.0,1
LENOVO,"IdeaPad Gaming3 AMD Ryzen 5-5500H 16GB 512GB SSD RTX2050 DOS 15.6"" IPS FHD Gaming Laptop 82K2029YTX",22.499 TL,4.9,15
CASPER,Excalibur G870.1245-BVG0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX2050 DOS GAMING LAPTOP,25.200 TL,4.6,29
LENOVO,LOQ 15IAX9 83GS007XTR i5-12450HX 8GB 512 GB SSD RTX 4060 GDDR6 15.6'' FHD FreeDOS Gaming (Oyu,36.629 TL,5.0,5
MSI,"Thın Gf63 12ucx-427xtr Core I5-12450h 8gb Ddr4 Rtx2050 4gd6 512gb Ssd 15.6"" Fhd 144hz Freedos",24.140 TL,4.2,53
ASUS,"Rog Strıx G16 G614ju-n3195 Intel I7-13650hx 16gb Ddr5 512gb Ssd 6gb Rtx4050 16"" Wuxga 165hz Dos","58.858,43 TL",4.6,36
ASUS,Rog Ally Ryzen Z1-16Gb Ram-512Gb Ssd-7inc-W11,20.569 TL,4.1,9
ASUS,"TUF FX507ZC4-HN104W/ Core i7-12700H/ İşlemci/ 16GB Ram/ 512GBSSD/ RTX3050 Ekran Kartı/ 15.6""/ WIN11",34.000 TL,,
ASUS,"E510ma-br580w Intel Celeron N4020 4gb 128gb Ssd 15.6"" Hd Windows 11 Home",7.999 TL,5.0,1
MONSTER,"Abra A7 V15.2.2 Intel Core i7 12700H 32 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDOS 17,3"" FHD 144 Hz",46.499 TL,4.6,46
LENOVO,Ideapad Slim 5 Case 2 in 1 İntel Core İ5-13420H 16 GB 512 GB Ssd Freedos 14 Inç 83KX004FTR,26.899 TL,4.7,3
MONSTER,"Abra A5 V21.3.6 Intel Core i7 12700H 8 GB RAM 500 GB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",27.314 TL,4.2,5
LENOVO,"Ideapad Gaming 3 AMD Ryzen 5 5500H 16GB 512GB SSD RTX2050  Uyumlu Freedos 15.6"" FHD",21.899 TL,4.5,2
ACER,"Nitro Core i5 13420H 8GB 512GB SSD RTX 3050 Freedos 15.6"" FHD Notebook NH.QNCEY.001",24.999 TL,4.6,7
ACER,Aspire 3 A315-510P-38X0 15.6” FHD İntel İ3-N305 8 GB DDR5 RAM 256 GB SSD Freedos NX.KDHEY.003,10.590 TL,4.4,90
MONSTER,"Abra A5 V21.4 Intel Core i7 12700H 16 GB RAM 500 GB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",33.799 TL,4.8,25
ACER,Nitro V NH.QNCEY.00116 Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6'' FHD ANV15,26.499 TL,4.6,8
